rank;image_id;score;caption;cui
1;ROCOv2_2023_train_000297;0.9480308715254069;Lateral radiograph of cervical spine showing the segmental lordotic angle (SLA) measuring method. There is a Cobb's angle between the upper endplate of the vertebral body and the lower endplate of vertebral body of the fused segment.;"[""C1306645"", ""C0037949"", ""C0205129""]"
2;ROCOv2_2023_train_000778;0.8727631144225598;Postoperative simple X-ray after occiput- C1- C2 arthrodesis and C3-4-5-6 bilateral lateral mass screw and C7 pedicle screw fixation with halo vest.;"[""C1306645"", ""C0037949"", ""C0205129""]"
3;ROCOv2_2023_train_000634;0.8633243441581726;A lateral view of the wrist at the time of initial evaluation without radiographic abnormality of the scaphoid.;"[""C1306645"", ""C1140618"", ""C0205129""]"
4;ROCOv2_2023_train_000245;0.8615861922502518;"Anteroposterior radiograph of the pelvis from a 3-year-old girl shows the normal articulation of the proximal femurs with hip joints; however, there is slight breakage of the left Shenton line.";"[""C1306645"", ""C0030797"", ""C1999039""]"
5;ROCOv2_2023_train_001531;0.8613375999033451;Plain abdominal X-ray demonstrating large left-sided kidney stone.;"[""C1306645"", ""C0000726"", ""C1999039""]"
6;ROCOv2_2023_train_002841;0.8509324327111245;The posteroanterior chest radiograph showed an enlarged, tortuous aorta.;"[""C1306645"", ""C0817096"", ""C1999039""]"
7;ROCOv2_2023_train_002052;0.8506234310567379;Plain chest radiograph demonstrating pneumomediastinum (linear lucency outlining left heart border - lower white arrow) and subcutaneous emphysema (lucency visualized in left lower neck - upper white arrow);"[""C1306645"", ""C0817096"", ""C1996865""]"
8;ROCOv2_2023_train_001976;0.8504866868257523;Computed tomography of the case 1 shows the amount of ascites with abdominal distension.;"[""C0040405""]"
9;ROCOv2_2023_train_000637;0.8497124880552291;A lateral radiographic view obtained at 6 weeks after initial presentation showing a normal appearing scaphoid.;"[""C1306645"", ""C1140618"", ""C0205129""]"
10;ROCOv2_2023_train_002829;0.8472647942602635;Case number: 3. X-ray of abdomen, taken on 03 August 2010, revealed fixation with spinal rods and pedicular screws from the level of T-2 to S-2 inclusive. Spinal fixation precluded administration of subarachnoid block.;"[""C1306645"", ""C0817096"", ""C1999039""]"
