query_image_id,query_image_path,rank,image_id,score,path,caption,cui
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,1,ROCOv2_2023_train_054049,0.884482,data/roco_small/images/ROCOv2_2023_train_054049.png,Figure 4: X-ray chest satisfactory lung expansion.,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,2,ROCOv2_2023_train_024070,0.881408,data/roco_small/images/ROCOv2_2023_train_024070.png,Chest X-Ray one month after initial discharge.,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,3,ROCOv2_2023_train_017249,0.875960,data/roco_small/images/ROCOv2_2023_train_017249.png,Chest X-ray showing a large pleural and pulmonary metastatic mass.,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,4,ROCOv2_2023_train_034966,0.870347,data/roco_small/images/ROCOv2_2023_train_034966.png,Chest X-ray shows bilateral pleural effusion.,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,5,ROCOv2_2023_train_019387,0.864445,data/roco_small/images/ROCOv2_2023_train_019387.png,Case 3: Alveo-interstitial infiltrate in right lower filed with multiple bullae spread throughout right lung field.,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,6,ROCOv2_2023_train_048779,0.856358,data/roco_small/images/ROCOv2_2023_train_048779.png,Chest X-ray posterior/anterior view revealed upper lobe diversion and congested hilar shadows and patchy consolidation in lower lobes (features of pulmonary edema and cardiomegaly).,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,7,ROCOv2_2023_train_045403,0.853645,data/roco_small/images/ROCOv2_2023_train_045403.png,Postoperative chest X ray (PA view) showing complete expansion of middle lobe.,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,8,ROCOv2_2023_train_036978,0.850625,data/roco_small/images/ROCOv2_2023_train_036978.png,Chest X-ray on admission showed infiltrates and pleural effusion on the right lower zone.,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,9,ROCOv2_2023_train_015261,0.850212,data/roco_small/images/ROCOv2_2023_train_015261.png,"Chest radiograph PA view. Shows mild right pleural effusion, mild cardiomegaly and dilated right heart cavities","[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,10,ROCOv2_2023_train_017495,0.841339,data/roco_small/images/ROCOv2_2023_train_017495.png,– Chest radiography at first visit.,"[""C1306645"", ""C0817096"", ""C1996865""]"
