query_image_id,query_image_path,rank,image_id,score,path,caption,cui
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,1,ROCOv2_2023_train_007475,0.891478,data/roco_small/images/ROCOv2_2023_train_007475.png,"Portable upright chest radiograph, demonstrating loculated left-sided effusion with associated infiltrate and lobar pneumonia.","[""C1306645"", ""C0817096"", ""C1999039""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,2,ROCOv2_2023_train_017802,0.888918,data/roco_small/images/ROCOv2_2023_train_017802.png,A chest X‐ray showed enlargement of the cardiac silhouette and bilateral costophrenic angle blunting,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,3,ROCOv2_2023_train_022713,0.888216,data/roco_small/images/ROCOv2_2023_train_022713.png,Thoracic anteroposterior view showing total laminectomy state before second operation.,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,4,ROCOv2_2023_train_038621,0.887216,data/roco_small/images/ROCOv2_2023_train_038621.png,Chest X-ray: arrow showing interstitial infiltrates in the right lung,"[""C1306645"", ""C0817096"", ""C1999039""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,5,ROCOv2_2023_train_038948,0.887172,data/roco_small/images/ROCOv2_2023_train_038948.png,"Chest X-ray revealed diffuse bilateral infiltrates, consistent of COVID-19 pictures","[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,6,ROCOv2_2023_train_007259,0.886996,data/roco_small/images/ROCOv2_2023_train_007259.png,4 months after hospital discharge.,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,7,ROCOv2_2023_train_052219,0.883878,data/roco_small/images/ROCOv2_2023_train_052219.png,Chest x ray revealed a right opacity homogenous well limited,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,8,ROCOv2_2023_train_038264,0.883874,data/roco_small/images/ROCOv2_2023_train_038264.png,Chest X-ray showing an interstitial pattern suggestive of eosinophilic pneumonitis in this patient.,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,9,ROCOv2_2023_train_009598,0.883642,data/roco_small/images/ROCOv2_2023_train_009598.png,Chest X-ray 6 months prior to admittance to our department. Severe right-sided pneumonia and a suspected foreign object in the oesophagus.,"[""C1306645"", ""C0817096"", ""C1996865""]"
ROCOv2_2023_train_000921,data/roco_small/images/ROCOv2_2023_train_000921.png,10,ROCOv2_2023_train_035175,0.882509,data/roco_small/images/ROCOv2_2023_train_035175.png,Chest X-ray showing air-fluid level that suggest large hiatal hernia (arrows).,"[""C1306645"", ""C0817096"", ""C1996865""]"
