query_image_id,query_image_path,rank,image_id,score,path,caption,cui
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,1,ROCOv2_2023_train_043156,0.923212,data/roco_small/images/ROCOv2_2023_train_043156.png,"Orthopantomogram reveals missing teeth (24, 25, 26, 27,  and  28) with unhealed sockets.","[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,2,ROCOv2_2023_train_058354,0.923110,data/roco_small/images/ROCOv2_2023_train_058354.png,Orthopanoramic postoperative view that shows a satisfying healing of the bone defect.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,3,ROCOv2_2023_train_007618,0.917285,data/roco_small/images/ROCOv2_2023_train_007618.png,OPG showing large unilateral radiolucencies extending from the 1st permanent molar along the ascending ramus up to the neck of the condyle and involving coronoid process and thinning of the lower border and bowing of angle of mandible.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,4,ROCOv2_2023_train_051323,0.916469,data/roco_small/images/ROCOv2_2023_train_051323.png,Route of the incisive canal of the mandible [MIC].,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,5,ROCOv2_2023_train_018896,0.915690,data/roco_small/images/ROCOv2_2023_train_018896.png,Posttreatment orthopantomograph.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,6,ROCOv2_2023_train_011168,0.914326,data/roco_small/images/ROCOv2_2023_train_011168.png,"Postoperative panoramic radiograph, demonstrating that the radiodensity of the lesion area is similar to normal bone, indicating complete bone regeneration.","[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,7,ROCOv2_2023_train_029547,0.913684,data/roco_small/images/ROCOv2_2023_train_029547.png,Postoperative OPG showing spontaneous regeneration of mandible.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,8,ROCOv2_2023_train_006231,0.912511,data/roco_small/images/ROCOv2_2023_train_006231.png,Panoramic X-ray of 7-year-old patient.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,9,ROCOv2_2023_train_016084,0.909585,data/roco_small/images/ROCOv2_2023_train_016084.png,Panoramic image showing the presence of multiple small radiopaque entities inferior to the angle of the mandible at the level of C3–C4.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,10,ROCOv2_2023_train_014156,0.909480,data/roco_small/images/ROCOv2_2023_train_014156.png,Panoramic radiograph showing erupted dilated odontoma and supernumerary incisor with impacted maxillary central incisor.,"[""C1306645"", ""C0037303""]"
